id	language_name	GB302_PassiveFree	GB422_ComplThinkKnowPost	GB285_QPartVMorph	GB030_PRO3PGender	GB129_FewVerbs	GB306_PROReciproc	GB320_PaucalFree	GB327_RELPost	GB025_DEMOrder_3	GB053_GenderAnimacy	GB086_AspectBoundV	GB058_POSSClassifier	GB321_GenderUnpredict	GB297_QVNotV	GB521_TenseAuxPart	GB039_NounNUMAllomorph	GB121_AUXTense	GB135_SUBClauseInOPosition	GB314_AUGgender	GB116_VClassifiers	GB065_POSSPosdPosrOrder_1	GB313_PROPoss	GB028_Clusivity	GB038_DEMClassifier	GB117_CopulaPredNom	GB131_TransVInitOrder	GB134_MainSubSameOrder	GB046_AssocPlural	GB020_ARTDef	GB263_QPartFinal	GB262_QPartInitial	GB082_PresentBoundV	GB118_SerialV	GB022_ARTPre	GB172_ARTGender	GB072_ObliqueCaseNoun	GB024_NUMOrder_3	GB150_ClauseChain	GB193_OrderADJ_3	GB296_Ideophones	GB073_ObliqueCasePRO	GB091_A-ArgSfxV	GB098_CaseSplitPerson	GB126_ExistentialV	GB171_DEMGender	GB165_TrialBound	GB193_OrderADJ_0	GB120_AspectAUX	GB197_PRO1PMascFem	GB270_COMPARConjoin	GB421_ComplThinkKnowPre	GB114_ReflBoundV	GB065_POSSPosdPosrOrder_2	GB286_QVMorph	GB094_P-ArgPfxV	GB079_VPrefixing	GB300_VSupplGive	GB203_QUANTOrder_2	GB333_NUMDecimal	GB160_RedupOther	GB107_NEGBoundV	GB265_COMPARExceed	GB193_OrderADJ_2	GB093_P-ArgSfxV	GB329_RELInternalHead	GB319_TrialFree	GB124_NounIncorpIntrans	GB275_COMPDegreeBound	GB334_NUMQuinary	GB059_POSSAlienability	GB156_CAUSSay	GB276_COMPDegreeFree	GB122_VCompounding	GB084_FutureBoundV	GB316_SingularFree	GB400_PersonNeutralized	GB083_PastBoundV	GB198_NUMGender	GB130_OrderSVIntrans_3	GB096_CaseSplitVerbClass	GB158_RedupV	GB196_PRO2PMascFem	GB052_GenderShape	GB108_DirLocBoundV	GB401_PatientLabile	GB430_POSSPfxPosr	GB204_QUANTUniversal	GB113_TransitivizingBound	GB335_NUMVigesimal	GB167_PROLogophore	GB048_NMZAgent	GB155_CAUSBound	GB273_COMPAROtherMarker	GB021_ARTIndef	GB325_QCountMass	GB193_OrderADJ_1	GB309_MultiplePastFuture	GB159_RedupNoun	GB147_PassiveBoundV	GB026_ADJDiscont	GB148_AntipassiveBoundV	GB257_QIntonation	GB336_NUMBodyTally	GB043_DualBound	GB024_NUMOrder_2	GB130_OrderSVIntrans_1	GB104_AppInstrBoundV	GB152_SimulSeqBound	GB298_NEGAux	GB203_QUANTOrder_0	GB330_RELCorr	GB037_DEMVisNonvis	GB080_VSuffixing	GB266_COMPARLoc	GB132_TransVMedOrder	GB074_Prepositions	GB103_BenefApplBoundV	GB192_GenderPhono	GB305_PRORefl	GB203_QUANTOrder_1	GB432_POSSSfxPosr	GB326_QInSitu	GB253_PredPOSSDat	GB115_RecipBoundV	GB149_InverseBoundV	GB146_VControl	GB304_PassiveA-ArgOvert	GB203_QUANTOrder_3	GB522_PRODrop	GB187_DIMBound	GB177_AnimacyBoundV	GB027_ComitConjDifferent	GB312_MoodBoundV	GB057_NUMClassif	GB186_ARTNum	GB403_VSupplCome	GB184_AdjNUM	GB099_VSupplPerson	GB119_MoodAUX	GB041_NUMSupplNoun	GB068_PredAdjLikeV	GB136_WordOrderFixed	GB089_S-ArgSfxV	GB318_PluralFree	GB044_PluralBound	GB315_DIMGender	GB323_EvidIndirect	GB415_PRO2PPoliteness	GB328_RELPre	GB170_ADJGender	GB110_VSupplTA	GB299_NEGPart	GB127_PostureVerbs	GB025_DEMOrder_2	GB140_SameNEGLocExistNom	GB024_NUMOrder_1	GB252_PredPOSSLoc	GB069_AttrAdjLikeV	GB081_VInfix	GB331_RELAdjoined	GB291_QTone	GB054_GenderPlants	GB095_CaseSplitTAM	GB025_DEMOrder_1	GB256_PredPOSSComitative	GB049_NMZObject	GB075_Postpositions	GB433_POSSSfxPosd	GB138_NEGInitial	GB322_EvidSense	GB042_SingularNoun	GB264_QPartMedial	GB520_AspectAuxPart	GB070_CoreCaseNoun	GB188_AUGBound	GB303_AntipassiveFree	GB130_OrderSVIntrans_2	GB047_NMZActionState	GB090_S-ArgPfxV	GB185_DEMNum	GB410_NeutralAlign	GB065_POSSPosdPosrOrder_3	GB023_ARTPost	GB402_VSupplSee	GB071_CoreCasePRO	GB139_NEGProhibitive	GB051_GenderSex	GB133_TransVFinalOrder	GB151_SwitchReference	GB036_DEMElevation	GB324_QV	GB408_Accusative	GB409_Ergative	GB035_DEMDistContrast	GB317_DualFree	GB111_VerbClass	GB254_PredPOSSAdnom	GB301_Inclusory	GB166_PaucalBound	GB519_MoodAuxPart	GB123_LightVerb	GB260_QWordOrder	GB431_POSSPfxPosd	GB092_A-ArgPfxV	GB105_CaseRecipientObj	GB137_NEGFinal	GB109_VSupplNUM	GB250_PredPOSSHabeo	GB031_PRODualAug
1495	1488	True	True	False	True	False	True	False	True	True	True	True	False	False	False	True	True	False	True	True	True	False	True	False	False	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	True	True	True	False	False	True	True	True	True	False	True	False	False	False	False	True	False	False	True	False	True	False	True	False	True	True	True	True	True	False	True	True	True	False	False	True	False	True	True	True	True	True	True	True	True	True	False	False	True	False	True	True	True	False	True	True	False	True	True	False	False	True	True	True	True	True	True	False	False	True	False	False	False	False	True	True	True	True	True	True	True	True	False	True	False	True	True	True	True	False	True	False	True	True	False	True	True	True	False	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	False	True	True	True	False	False	False	True	True	True	True	True	True	True	True	True	False	False	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True
1496	1489	False	False	False	False	False	False	False	True	False	False	True	False	False	False	False	False	True	True	False	False	True	True	True	False	True	False	True	False	False	True	False	False	False	False	False	True	False	True	False	False	False	False	True	True	False	False	False	True	False	True	False	True	False	True	True	True	False	True	True	True	True	True	False	False	True	False	True	True	True	False	False	True	False	True	False	False	True	True	False	False	True	False	False	True	False	False	True	False	True	False	True	True	True	True	True	False	True	True	False	False	True	True	False	True	False	True	True	True	False	False	True	False	True	True	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True	False	False	True	True	False	False	False	True	False	True	False	True	True	False	False	True	False	True	False	True	True	False	False	True	False	True	False	False	False	False	True	False	False	False	True	False	True	True	True	True	True	False	False	True	True	False	False	False	True	True	True	True	False	False	False	True	True	False	True	True	False	True	True	False	False	False	True	True	False	False	False	False	False	True	True	False	True	False	True	True
1497	1490	False	True	False	False	False	True	False	True	False	False	True	False	True	False	True	True	False	True	True	True	True	True	True	False	True	True	True	True	False	True	True	True	False	True	False	True	True	True	False	True	True	True	True	True	False	False	False	True	False	True	True	True	False	False	False	True	True	False	False	True	True	True	False	False	True	False	False	True	True	True	True	True	False	True	True	False	True	True	False	True	True	True	False	True	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	False	False	True	True	False	True	True	True	False	True	True	True	True	False	False	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	False	False	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	True	True	False	False	True	True	True	False	True	True	True	True	True	True	True	True	True	False	False	False	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	True	True	True	False	True	False	True	True	True	True	True	True
1498	1491	True	True	False	True	False	True	False	True	False	False	True	True	True	False	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	False	True	True	False	False	True	False	True	True	True	False	True	False	True	True	False	True	True	True	True	False	True	False	False	True	True	True	True	False	True	False	False	True	False	True	False	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	False	True	False	False	False	False	True	True	True	False	True	False	True	True	True	False	False	True	True	True	False	False	True	True	True	True	True	False	True	True	False	True	True	True	True	True	True	False	True	False	False	False	True	True	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	True	False	True	False	True	False	True	True	True	True	True	False	True	True	True	True	False	False	True	True	True	True	False	False	True	True	True	True	False	True	False	True	True	True	False	True	True	True	True	False	True	False	True	True	True	True	False	False	True	True
1499	1492	False	False	False	True	False	False	False	True	False	True	True	False	False	False	True	False	True	True	False	False	False	True	True	False	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	True	True	False	True	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	False	True	True	True	True	False	False	False	False	False	True	False	False	True	False	True	False	False	False	True	False	True	True	False	False	True	True	False	True	True	True	True	False	True	False	True	False	False	True	True	False	False	False	False	False	False	False	True	False	True	True	False	False	True	True	False	True	True	True	False	True	False	False	True	False	True	False	True	True	False	True	False	False	False	True	False	True	False	True	False	False	False	False	True	False	True	True	False	True	False	False	False	False	True	False	True	False	True	False	True	True	False	True	False	False	False	True	True	True	False	True	False	False	False	False	False	True	False	False	True	True	True	True	False	True	False	False	True	False	False	False	False	False	False	True	False	False	True	True	False	False	True	False	False	False	False	True	True	False	True	False
1500	1493	False	False	False	False	False	False	False	True	True	False	True	True	False	False	True	False	True	True	False	False	False	False	True	False	True	True	True	True	True	True	False	True	False	True	False	True	False	False	False	False	True	True	True	True	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	True	False	False	True	True	False	False	True	False	False	True	False	False	True	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	True	True	False	True	True	False	True	True	True	False	True	True	False	True	False	False	True	True	False	False	False	False	True	False	False	True	True	False	False	False	True	True	False	True	False	False	True	True	False	True	False	True	False	False	False	False	False	True	True	False	True	True	True	False	False	False	False	True	False	False	False	True	True	True	False	True	False	True	False	False	False	False	False	False	False	True	False	True	False	False	True	True	True	False	True	False	True	False	False	False	True	True	True	False	True	True	False	False	False	True	True	True	True	True	False	False	True	True	False	True	False	False	True	False	True	True	True	True	True
1501	1494	False	False	False	True	False	True	False	True	False	False	True	False	False	False	False	True	False	True	False	True	True	False	True	False	True	False	True	False	False	False	False	False	True	False	True	False	False	True	False	False	False	True	True	True	True	False	False	True	False	True	False	True	False	False	True	True	False	False	True	True	True	True	True	True	True	False	False	False	True	False	False	True	True	False	False	False	True	False	False	True	True	True	False	False	False	False	True	True	True	False	True	True	True	False	False	False	True	True	True	True	True	False	False	False	False	True	False	True	True	False	True	False	True	True	False	False	False	False	False	False	False	False	False	True	True	True	True	False	True	False	False	True	True	True	False	True	True	False	False	False	False	False	True	True	False	True	True	False	False	False	False	False	False	False	False	True	True	False	True	True	False	False	True	True	False	True	True	True	True	True	False	True	False	True	True	False	False	True	True	False	True	True	False	False	True	True	False	True	False	False	False	True	True	True	False	True	False	True	False	False	True	False	True	True	False	False	False	True	False
1502	1495	False	True	False	False	False	False	False	True	False	False	False	False	False	False	False	False	True	True	False	False	False	True	True	False	True	False	True	True	False	False	False	True	False	False	False	True	False	False	False	True	True	True	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	False	True	True	False	False	True	False	False	False	False	False	True	False	False	False	True	False	True	False	True	True	True	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	True	True	True	True	False	False	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	False	False	True	True	False	False	False	True	True	False	False	True	False	False	True	True	False	False	False	False	False	False	False	True	False	True	True	False	False	False	False	False	False	True	True	False	False	False	True	True	True	False	False	False	True	True	False	True	False	False	False	False	True	False	False	True	True	True	False	True	True	False	False	False	False	False	False	False	True
1503	1496	True	False	False	True	False	True	False	True	False	True	False	False	True	False	True	True	False	True	True	False	False	True	True	False	False	True	True	True	True	False	True	False	True	True	True	True	False	True	False	True	True	True	False	True	True	False	False	True	True	True	True	True	True	False	False	True	True	False	True	True	True	True	False	True	True	False	True	True	False	True	False	True	True	True	True	False	False	True	False	True	True	True	False	False	True	False	True	True	True	False	True	True	True	True	True	True	True	False	True	True	False	True	False	False	False	False	False	False	True	False	False	False	True	True	False	True	False	True	True	False	False	False	True	True	False	False	True	False	True	True	True	True	True	False	True	True	True	False	True	True	True	True	True	True	True	True	True	False	False	False	False	False	True	False	True	True	True	False	False	False	False	False	True	True	False	True	True	False	True	False	False	False	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	True	True	True	True	True	True	False	True	False	False	True	True	False	False	True	True	False
1504	1497	True	False	False	True	False	False	False	True	False	True	True	False	False	False	True	True	True	True	True	False	False	True	False	False	True	True	True	True	True	True	True	True	False	True	True	False	False	True	True	True	True	True	True	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	True	True	False	True	False	True	False	False	False	True	False	False	False	True	False	True	False	False	True	True	False	False	True	False	True	True	True	False	True	False	True	True	True	False	True	False	False	False	True	True	False	False	False	True	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	True	True	True	True	True	False	True	True	False	True	True	True	True	False	True	True	False	False	True	True	False	True	True	False	False	True	False	True	True	True	True	False	True	True	True	True	False	True	True	True	False	False	False	False	False	True	True	False	True	True	True	True	True	True	False	True	False	True	False	False	True	False	False	True	True	True	True	False	True	True	False	True	False	False	True	False	False	False	True	False	True	False	True	True	False	False	False	False	True	False	False	False
1505	1511	True	False	False	True	False	True	False	True	False	False	False	False	True	False	False	True	True	True	False	False	False	True	True	False	True	False	False	False	True	False	False	True	False	True	True	True	False	True	False	True	False	True	True	True	True	False	False	True	False	False	True	False	False	False	False	False	True	False	True	False	False	True	False	True	False	False	False	True	False	False	False	False	True	False	False	False	True	False	False	False	False	True	False	True	True	False	True	False	True	False	True	True	True	True	True	True	False	False	False	False	False	True	False	False	False	True	False	True	False	False	False	False	True	False	True	True	False	False	True	True	True	False	False	False	True	True	True	False	False	True	False	True	False	True	True	False	True	False	True	False	True	True	True	True	True	False	True	True	False	True	False	True	True	False	True	True	False	True	False	True	False	False	False	True	False	True	True	True	False	False	False	False	False	True	True	False	False	True	True	True	True	True	False	False	True	True	False	False	False	False	False	True	False	False	False	True	True	False	False	False	False	True	True	True	True	True	False	True	False
1506	1510	True	False	False	True	False	True	False	True	False	True	True	True	False	False	True	True	True	True	False	False	False	False	False	False	True	True	True	False	True	False	True	True	True	True	False	False	False	False	False	True	True	True	False	False	True	False	False	True	False	False	True	False	True	False	False	True	True	False	True	True	True	False	False	True	False	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	True	False	True	True	False	False	True	True	True	True	False	True	True	True	True	False	False	True	False	False	False	False	False	False	False	False	True	False	True	True	False	True	True	False	True	True	False	True	False	False	False	True	True	False	True	True	False	True	True	False	True	True	True	False	True	False	True	True	True	True	True	False	True	True	False	False	False	False	False	False	False	True	True	False	True	True	False	False	False	True	False	True	True	True	True	True	True	True	True	True	True	False	False	True	False	False	True	False	True	False	True	True	False	True	True	False	True	True	True	False	False	True	False	False	False	True	True	False	False	False	True	False	False	True	False
1507	1519	True	False	False	False	False	True	False	True	False	False	True	False	False	True	False	True	True	True	False	False	True	True	False	False	True	False	True	False	False	True	True	True	True	False	False	True	False	True	False	True	True	True	True	True	True	False	False	True	False	False	True	False	False	True	True	True	True	False	True	True	False	False	False	True	True	False	False	False	False	True	False	True	True	True	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False	False	True	True	True	True	True	True	False	True	True	False	False	True	False	False	False	True	False	True	True	False	True	False	True	False	True	False	False	True	False	False	True	False	True	False	False	False	True	False	True	False	False	True	True	False	False	False	True	True	True	False	True	True	True	True	True	True	True	True	True	True	False	True	False	False	True	True	True	True	False	True	False	False	True	True	True	True	True	False	True	True	True	True	False	True	False	False	False	True	True	True	True	False	False	False	True	False	True	True	True	False	False	False	True	True	False	True	True	False	False	True	True	True	False	False	False	True	False	True	False
1508	1516	False	False	False	True	False	False	False	True	False	False	True	True	False	True	True	False	True	True	False	False	False	True	False	False	True	False	True	False	False	True	True	False	True	True	True	True	False	True	False	True	True	True	False	True	False	False	False	False	False	False	True	True	False	True	False	False	True	False	True	True	True	False	False	True	False	False	False	True	False	True	False	True	True	False	False	True	True	False	False	False	False	False	False	False	True	True	True	True	True	False	False	True	True	False	True	True	True	True	True	False	False	True	False	False	False	True	False	True	True	False	True	False	True	False	True	False	False	False	True	False	True	True	False	True	False	True	True	False	True	False	False	False	True	False	True	True	True	True	True	False	True	True	True	False	True	True	True	False	True	True	False	True	False	False	False	True	False	True	True	True	False	False	False	True	False	False	True	True	True	True	True	True	False	True	False	False	False	True	False	True	False	False	False	False	True	True	False	False	False	False	True	True	False	False	False	True	True	True	False	True	True	False	True	False	False	True	False	False	False
1509	1514	False	False	False	False	False	False	False	True	False	False	False	True	False	False	True	False	True	True	False	False	False	True	False	False	True	False	True	True	False	False	True	False	True	False	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False	False	True	False	True	False	False	True	False	True	True	True	True	True	True	True	False	False	False	False	False	False	False	True	True	True	False	False	False	False	False	True	False	False	True	True	True	False	True	True	False	True	False	True	False	False	True	False	False	True	False	False	False	False	False	False	True	True	True	True	False	False	False	False	False	True	True	True	False	False	True	False	False	True	False	False	True	False	False	False	True	True	False	True	True	True	False	True	True	False	False	False	True	True	True	True	True	False	False	True	True	False	False	True	False	True	True	False	False	False	False	False	False	False	False	False	True	False	False	False	True	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	True	True	True	True	False	True	False	False	False	True	True	False	False	True	True	True	True	True	True
1510	1506	True	False	False	False	False	True	False	True	False	True	False	False	False	False	False	False	False	True	False	False	False	False	True	False	True	False	True	True	True	True	True	False	True	True	False	False	False	False	False	True	False	False	False	True	True	False	False	True	False	False	True	True	False	False	False	True	False	True	True	True	False	False	False	False	False	False	True	False	False	True	True	False	True	False	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	False	True	True	True	True	True	False	False	False	True	False	True	False	False	False	True	True	True	False	False	False	False	False	False	False	True	True	False	False	True	False	False	True	False	True	False	True	True	True	True	False	False	False	False	True	True	False	False	True	True	False	True	True	False	False	False	False	True	True	False	False	False	True	True	True	True	False	False	True	False	False	False	False	False	False	True	True	False	False	True	True	False	True	True	False	False	False	False	True	False	False	True	False	True	False	True	True	True	False	False	False	False	False	False	True	False	False	True	True	False	True	True	False	True	False	True	False	True	True	False
1511	1521	True	True	False	False	False	False	False	False	False	False	True	False	False	False	False	False	True	True	False	False	True	True	True	False	True	False	True	True	False	False	True	True	True	False	False	True	False	True	True	False	False	True	False	True	False	False	False	True	False	True	False	False	False	True	True	True	True	False	False	True	True	True	False	True	False	False	True	True	False	True	False	True	True	True	False	False	True	False	False	True	True	False	False	True	True	False	True	True	True	True	True	False	True	True	False	False	True	True	True	False	True	True	False	False	True	True	False	True	True	False	True	False	True	True	True	False	False	False	True	True	True	True	False	False	False	True	False	False	True	True	False	True	True	True	False	True	True	False	True	False	False	False	False	False	True	False	True	True	True	False	True	False	False	False	True	False	True	False	True	False	False	True	True	True	False	True	True	False	False	True	False	True	True	True	True	False	False	True	False	True	True	False	False	False	False	True	False	True	False	True	False	True	True	True	False	True	False	True	False	True	True	False	True	True	True	True	True	False	True
1512	1517	True	True	False	True	False	True	False	True	False	True	True	True	False	False	True	False	True	True	False	False	True	False	True	False	True	False	True	True	True	False	True	False	True	False	False	True	False	True	False	True	True	False	False	True	True	False	False	True	False	False	True	False	False	False	False	True	False	True	True	True	False	True	False	True	True	False	True	True	False	True	True	True	True	False	False	False	True	False	False	False	True	True	False	True	True	False	True	True	False	True	True	True	True	False	True	False	True	True	True	False	True	True	False	True	True	True	True	True	True	False	True	True	True	True	False	True	True	False	True	False	True	False	True	True	True	True	True	False	True	False	True	True	True	True	False	False	False	True	True	False	True	True	False	False	True	False	True	True	True	False	True	True	True	False	True	False	True	False	False	True	False	False	False	False	False	True	True	True	False	True	True	False	True	False	False	False	False	True	False	True	True	False	False	False	True	True	False	True	True	True	False	True	True	False	False	False	True	True	False	True	True	False	True	False	False	False	True	True	True
1513	1515	False	True	False	True	False	True	False	False	False	False	True	False	True	False	False	True	False	True	False	False	True	False	False	False	True	False	True	True	False	False	False	False	True	True	False	True	False	True	False	True	True	True	True	False	False	False	False	True	False	False	False	False	False	True	True	True	False	False	True	True	True	False	False	True	False	False	False	False	False	True	False	False	False	False	False	False	True	False	False	False	True	False	False	True	False	False	True	True	True	False	True	True	True	True	False	True	False	True	True	False	True	True	False	True	False	True	True	True	True	False	False	True	True	False	False	False	False	False	True	True	True	True	False	False	False	True	False	False	True	True	False	True	True	True	False	False	False	True	True	False	True	False	True	False	True	True	True	True	True	False	True	False	False	False	False	True	True	False	True	False	False	False	True	True	False	True	True	False	False	False	True	False	False	True	False	False	False	True	True	True	True	False	False	False	True	False	False	True	False	False	False	False	True	True	False	False	True	False	False	True	False	False	True	True	True	False	True	False	True
1514	1522	False	False	False	False	False	True	False	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	True	True	True	False	True	True	True	True	True	False	True	False	True	True	False	True	False	True	False	False	True	True	False	False	False	False	False	True	True	False	True	False	False	True	False	True	True	True	False	True	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	False	True	False	True	True	False	True	True	False	True	False	True	False	True	False	True	False	True	True	False	True	True	False	False	True	False	False	False	False	False	False	False	False	True	False	False	True	True	True	False	False	True	True	False	True	False	True	False	True	True	False	True	True	False	True	False	True	False	False	False	False	True	False	True	True	False	False	False	False	False	False	True	False	False	True	False	True	True	True	False	True	False	False	False	False	False	False	False	True	True	False	True	False	False	False	True	False	False	False	False	True	False	True	True	False	False	False	False	True	False	False	False	False	False	False	False	False	False	False	False	True	False	True	True	False	False	False	True	True	False	True	True
1515	1505	False	True	False	True	False	True	False	True	False	True	True	False	False	True	False	True	False	True	False	False	False	True	False	False	True	False	True	False	True	True	True	True	True	True	False	True	False	True	False	False	True	True	True	True	False	False	False	False	False	False	True	True	False	True	False	True	False	False	False	True	True	False	False	False	False	False	True	True	False	False	False	False	False	True	True	False	True	False	False	True	True	False	False	False	False	False	True	True	True	False	True	True	True	False	False	True	False	True	False	True	True	True	False	True	False	True	False	False	False	False	True	False	True	True	False	False	False	False	True	False	True	True	True	True	False	False	True	False	False	False	False	True	True	False	True	True	True	False	False	True	True	True	False	True	True	False	False	True	True	False	False	True	False	False	True	False	True	True	True	False	False	False	True	False	True	False	True	False	False	False	True	True	False	True	False	False	False	False	False	True	True	False	True	False	True	False	False	True	True	False	False	True	True	True	True	True	True	True	False	False	True	False	False	False	True	True	False	True	True
1516	1512	False	True	False	False	False	False	False	False	False	True	True	False	True	False	True	True	False	False	True	False	True	False	True	False	True	False	True	True	True	True	False	False	True	True	True	False	False	False	False	True	False	False	True	False	True	False	False	False	False	False	True	True	False	False	False	True	False	True	True	True	False	True	True	False	True	False	False	True	True	False	False	True	False	False	False	False	False	True	False	False	True	False	True	False	True	False	False	True	True	False	True	True	True	False	False	False	True	True	True	False	False	False	False	False	True	True	False	False	False	False	True	False	True	True	False	True	False	False	True	False	False	True	False	False	True	False	False	False	False	True	False	False	False	False	True	True	False	False	False	False	True	True	True	False	True	True	True	False	False	False	False	True	False	False	False	False	True	True	False	True	False	True	False	False	False	True	True	False	False	True	True	True	True	False	False	False	False	True	False	True	True	False	False	False	True	True	True	True	False	False	False	True	False	True	False	True	False	False	False	True	True	False	True	False	True	False	False	False	False
1517	1503	False	False	False	False	False	True	True	True	False	False	False	True	True	False	True	True	True	True	False	False	False	True	True	False	True	True	True	False	True	False	False	False	True	True	False	False	False	False	False	True	True	False	False	True	False	False	False	True	False	True	True	False	True	False	False	True	False	True	True	False	False	True	False	False	False	False	True	False	True	True	False	True	True	False	False	False	False	True	False	True	True	False	False	False	False	False	True	True	True	False	False	True	True	True	True	False	False	True	False	False	False	True	False	False	False	True	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	True	False	True	False	True	False	False	True	True	False	True	False	True	False	False	False	False	True	False	True	True	False	True	True	False	True	True	False	True	False	True	False	True	False	True	True	True	False	False	False	False	False	False	True	False	False	False	False	True	False	False	True	False	False	False	True	True	False	False	True	False	True	False	True	False	True	False	False	False	True	False	True	True	True	True	True	False	False	True	False	False	False	True	False	False	False	False	True
1518	1507	False	False	False	False	False	False	False	True	False	False	True	False	False	False	True	False	True	True	False	False	False	True	True	False	True	True	True	True	True	True	False	True	True	True	False	True	False	True	False	True	False	False	True	False	False	False	False	True	False	True	True	True	True	False	True	True	True	False	True	True	False	True	False	False	True	False	True	True	True	True	False	True	True	False	False	False	True	True	False	True	True	False	False	True	True	False	True	True	True	False	True	True	True	True	True	False	False	True	False	False	True	True	False	False	False	False	True	True	False	False	True	False	True	True	False	True	True	False	False	True	False	True	True	True	True	True	False	False	True	False	False	True	True	True	True	True	True	True	True	False	True	True	False	True	False	False	True	True	True	True	False	True	True	True	True	True	True	True	False	True	False	False	True	True	True	True	False	False	True	True	True	True	True	False	True	False	True	True	False	True	True	True	False	False	False	True	False	False	True	False	True	True	True	True	True	True	True	True	False	True	True	False	False	False	True	False	True	False	False
1519	1520	False	False	False	False	False	False	False	True	False	False	True	True	False	False	False	False	False	True	False	False	False	True	True	False	False	True	True	True	False	False	True	False	True	True	True	False	False	False	True	True	True	True	False	True	False	False	False	False	False	False	True	True	False	False	False	True	True	False	True	True	True	True	False	False	False	False	False	False	False	True	False	True	False	True	True	False	True	False	False	False	True	False	False	True	True	False	True	True	True	False	True	True	True	False	False	False	False	True	True	False	True	False	False	False	False	False	True	False	False	False	False	True	True	True	False	True	True	False	True	True	True	False	False	True	True	True	True	False	False	True	True	True	True	True	True	True	True	False	False	False	True	True	True	True	True	False	True	False	True	False	False	True	False	False	True	True	False	True	True	True	False	False	False	True	False	True	True	True	True	True	False	True	True	False	True	False	True	True	False	False	False	True	False	False	True	True	False	False	True	False	False	False	True	True	False	False	False	True	False	True	False	False	False	False	False	False	False	False	False
1520	1500	True	False	False	True	False	False	False	True	False	False	False	True	False	False	True	False	False	True	False	False	False	True	True	False	False	True	True	True	True	True	False	False	True	False	False	False	False	False	False	True	True	False	True	True	False	False	False	False	False	False	True	True	True	False	False	True	False	False	True	True	False	False	True	False	True	False	True	False	False	False	False	False	True	True	False	False	True	False	True	False	True	False	False	True	True	False	True	True	False	False	True	True	True	False	False	False	True	True	True	False	False	True	False	False	False	False	True	False	False	False	False	True	True	True	False	True	True	False	True	False	False	True	False	True	False	True	True	False	False	True	False	True	False	True	False	False	False	False	False	False	True	True	True	False	True	False	True	False	True	False	False	True	False	True	True	True	True	True	True	False	False	False	False	False	False	True	False	True	True	True	False	True	True	False	True	False	False	True	False	False	True	False	True	False	True	True	False	False	True	False	False	False	True	True	False	False	False	True	False	True	False	False	True	False	False	False	True	False	False
1521	1499	True	False	True	False	False	False	False	True	False	True	True	False	True	False	True	True	False	True	False	True	False	True	True	False	True	False	True	True	True	True	True	False	True	True	True	False	False	True	False	True	False	True	True	True	True	False	True	False	False	False	True	True	True	True	False	True	True	False	True	True	False	False	True	False	True	False	True	False	True	True	False	False	True	False	True	False	False	True	False	True	True	False	True	True	True	True	True	True	False	False	True	True	False	True	True	False	True	True	True	True	True	True	False	False	False	True	True	True	True	False	True	False	False	True	True	True	False	True	False	False	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	False	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	True	False	True	True	True	True	True	True	True	False	True	True	True	False	True	True	False	True	True	False	True	False	False	True	True	False	True	False	True	False	False	True	True	False	True	False	False	True	True	True	True	True	True	True	False	True	True	False	True	False	True	True	True	True	True
